county,resolved_url,title,likely_gis,reason
Osceola,https://en.m.wikipedia.org/wiki/Osceola,Osceola-Wikipedia,no,no_keyword
Oscoda,https://oscoda.com/,"Oscoda, Michigan | Official Travel and Tourism Website",no,no_keyword
Otsego,https://experience.arcgis.com/experience/b85ecd75a2364e849d44446dba52ed17,Otsego County Tax Parcel Viewer 2026 - experience.arcgis.com,yes,arcgis;gis
Ottawa,https://en.m.wikipedia.org/wiki/Ottawa,Ottawa-Wikipedia,no,no_keyword
Presque Isle,https://beacon.schneidercorp.com/?site=PresqueIsleCountyMI,Local government GIS for the web - Beacon / qPublic.net,yes,beacon
Roscommon,https://en.m.wikipedia.org/wiki/Roscommon,Roscommon-Wikipedia,no,no_keyword
Saginaw,https://www.saginawcontrol.com/,SaginawControl and Engineering |,no,no_keyword
St. Clair,https://www.st.com/content/st_com/en.html,STMicroelectronics: Our technology starts with you,no,no_keyword
St. Joseph,https://www.st.com/content/st_com/en.html,STMicroelectronics: Our technology starts with you,no,no_keyword
Sanilac,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php,"GIS / Mapping - Sanilac County, MI",yes,gis
Schoolcraft,https://www.schoolcraft.edu/,Community College Detroit Michigan –SchoolcraftCollege,no,no_keyword
Shiawassee,https://www.piercecountywa.gov/,"Pierce County, WA - Official Website",no,no_keyword
Tuscola,https://tuscola.org/,City ofTuscola,no,no_keyword
Van Buren,https://www.autotrader.com/cars-for-sale/commercial/van-minivan?msockid=2ee217426e256c0720cf00ca6fb66dd9,Used Cargo Vans and Work Vans for Sale Near Me - Autotrader,no,no_keyword
Washtenaw,https://www.wccnet.edu/,"Washtenaw Community College| College in Ann Arbor, MI",no,no_keyword
Wayne,https://www.imdb.com/title/tt7765404/,Wayne(TV Series 2019) - IMDb,no,no_keyword
Wexford,https://en.wikipedia.org/wiki/Wexford,Wexford-Wikipedia,no,no_keyword
