county,resolved_url,probe_status,layer_candidate,parcel_id_field
Ottawa,https://gis.miottawa.org/ottawa/geocortex/propertymapping/,no_rest_found_on_page,,
Presque Isle,https://beacon.schneidercorp.com/?site=PresqueIsleCountyMI,page_status_403,,
Roscommon,https://roscommoncounty.maps.arcgis.com/apps/webappviewer/index.html?id=d0b928a07dfc4566bf4ed802dd73a43b,no_arcgis_layer_found,,
Saginaw,https://www.sagagis.org/,no_rest_found_on_page,,
St. Clair,https://www.stclaircounty.org/Offices/15,no_rest_found_on_page,,
St. Joseph,https://stjosephcountymi.gov/government/geographic-information-systems-gis/,no_rest_found_on_page,,
Sanilac,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php,no_rest_found_on_page,,
Schoolcraft,https://www.schoolcraftcounty.net/departments/equalization,no_rest_found_on_page,,
Shiawassee,https://shiawassee.net/GIS/,no_rest_found_on_page,,
Tuscola,https://www.tuscolacounty.org/gis/,no_rest_found_on_page,,
Van Buren,https://gis.vanburencountymi.gov/van-buren-county-mi/maps/139519/parcel-viewer-beta-,no_rest_found_on_page,,
Washtenaw,https://washtenaw.maps.arcgis.com/apps/webappviewer/index.html,no_arcgis_layer_found,,
Wayne,https://www.waynecountymi.gov/Government/Departments/Information-Technology/Maps-Data/Interactive-Maps,no_rest_found_on_page,,
Wexford,https://wexfordcounty.org/?page_id=705,no_rest_found_on_page,,
