county,source_url,candidate,notes
Roscommon,https://roscommoncounty.maps.arcgis.com/apps/webappviewer/index.html?id=d0b928a07dfc4566bf4ed802dd73a43b,https://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/0,found
Saginaw,https://www.sagagis.org/,,none
Sanilac,https://www.sanilaccounty.gov/community/services/gis_mapping/index.php,,none
Schoolcraft,https://www.schoolcraftcounty.net/departments/equalization,,none
Shiawassee,https://shiawassee.net/GIS/,,none
St. Clair,https://www.stclaircounty.org/Offices/15,,blocked
St. Joseph,https://stjosephcountymi.gov/government/geographic-information-systems-gis/,,none
Tuscola,https://www.tuscolacounty.org/gis/,,none
Van Buren,https://gis.vanburencountymi.gov/van-buren-county-mi/maps/139519/parcel-viewer-beta-,,none
Washtenaw,https://washtenaw.maps.arcgis.com/apps/webappviewer/index.html,https://services.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer/0,found
Wayne,https://www.waynecountymi.gov/Government/Departments/Information-Technology/Maps-Data/Interactive-Maps,,none
wayne county,https://<county-url>/wayne_parcels.zip,,"error:Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""https://<county-url>/wayne_parcels.zip"", waiting until ""load""
"
Wexford,https://wexfordcounty.org/?page_id=705,,none
